prop,anthraks,hpai,brucelosis,rabies,jembrana,lpai,csf,asf,lsd,pmk,lainnya
Aceh,,,,,,,,,3097,46349,552
Bali,,,,685,,,,,,556,360
Bangka Belitung,,,,,,,,2,,4116,8
Banten,,163,,,,,,,,2713,16
Bengkulu,,,,1,285,,,,26,13669,255
Di Yogyakarta,8,58,1,,,,,,2,14538,32
Dki Jakarta,,,,,,,,,,1048,3
Jambi,,,,4,83,,,,152,3147,479
Jawa Barat,,36,9,,,,,,36,68600,238
Jawa Tengah,,180,1,,,,,,895,47224,51
Jawa Timur,1,467,33,,,,10,,20,192170,326
Kalimantan Barat,,,,16,,,,4721,,1819,187
Kalimantan Selatan,,1115,2,4,47,,,,,531,2
Kalimantan Tengah,,,2,2,,,,711,,827,
Kalimantan Timur,,,44,,,,,161,,123,1
Kalimantan Utara,,,,,,,,,,8,16
Kepulauan Riau,,,,,5,,,,,415,395
Lampung,,,,2,22,230,,,,1987,1
Nusa Tenggara Barat,,,,91,,,,,,124834,206
Nusa Tenggara Timur,,,,18,,,64,340,,,513
Riau,,,,24,42,,,,912,5224,709
Sulawesi Barat,,695,3,2,55,30,,,,31,527
Sulawesi Selatan,1,100,20,74,392,,,,,11970,374
Sulawesi Tengah,,,,73,24,,,,,270,200
Sulawesi Tenggara,,,,1,,,,,,17,
Sulawesi Utara,,,,263,,,,,,,139
Sumatera Barat,,9021,,7,,,,,1592,24886,54
Sumatera Selatan,,,,,,,,,,271,225
Sumatera Utara,,,,11,,,6,46,9474,24214,430
