caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2670153,06-10-2020,8,sapi potong,77,Bovine Viral Diarrhea,Gorontalo,Gorontalo Utara,Biau,Luhuto,122.389174467213,0.892006751000054
2670158,22-12-2020,3,sapi potong,77,Bovine Viral Diarrhea,Gorontalo,Gorontalo Utara,Tomilito,Dambalo,122.389174467213,0.892006751000054
2670160,23-06-2020,6,sapi potong,77,Bovine Viral Diarrhea,Gorontalo,Gorontalo Utara,Kwandang,Ombulodata,122.950621469451,0.85454901600005
2670157,14-09-2020,2,sapi potong,77,Bovine Viral Diarrhea,Gorontalo,Gorontalo Utara,Gentuma Raya,Ipilo,122.389174467213,0.892006751000054
2681912,20-05-2020,3,sapi,22,Bovine Viral Diarrhea,Sulawesi Tengah,Banggai Laut,Banggai Tengah,Adean,123.531194092539,-1.63242064599993
2682507,15-03-2020,1,sapi,22,Bovine Viral Diarrhea,Sumatera Utara,Deli Serdang,Hamparan Perak,Tandam Hilir Satu,98.5098982880473,3.72493860400004
2670164,29-09-2020,14,sapi potong,77,Bovine Viral Diarrhea,Gorontalo,Gorontalo Utara,Tolinggula,Tolinggula Tengah,122.169040055562,0.967309859500062
2670142,02-11-2020,6,sapi potong,77,Bovine Viral Diarrhea,Gorontalo,Gorontalo Utara,Kwandang,Cisadane,122.950621469451,0.85454901600005
2682497,10-03-2020,1,sapi,22,Bovine Viral Diarrhea,Sumatera Utara,Deli Serdang,Sunggal,Sei Mencirim,98.5542164866688,3.56786713400004
2670154,12-10-2020,5,sapi potong,77,Bovine Viral Diarrhea,Gorontalo,Gorontalo Utara,Atinggola,Bintana,122.389174467213,0.892006751000054
2670162,25-06-2020,2,sapi potong,77,Bovine Viral Diarrhea,Gorontalo,Gorontalo Utara,Anggrek,Langge,122.710477607732,0.857789989500048
2681917,08-09-2020,3,sapi,22,Bovine Viral Diarrhea,Sulawesi Tengah,Banggai Laut,Banggai Utara,Tolise Tubono,123.515139028985,-1.53097491249997
2677755,27-01-2020,1,sapi,22,Bovine Viral Diarrhea,Kepulauan Riau,Karimun,Kundur,Alai,103.494325304864,0.666188434500043
2677747,12-01-2020,3,kambing,40,Bovine Viral Diarrhea,Kepulauan Riau,Karimun,Kundur,Lubuk,103.405446733986,0.683041960000054
