caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2691121,26-05-2020,1,sapi,22,Infectious Bovine Rhinotracheitis,Sumatera Utara,Labuhan Batu Selatan,Torgamba,Aek Batu,100.204708289503,1.77320879300007
2691112,19-04-2020,3,sapi,22,Infectious Bovine Rhinotracheitis,Sumatera Utara,Labuhan Batu Selatan,Silangkitang,Mandala Sena,99.9996261392953,1.86127846950004
2691108,06-04-2020,10,sapi,22,Infectious Bovine Rhinotracheitis,Sumatera Utara,Labuhan Batu Selatan,Kota Pinang,Mampang,100.037968079837,1.82849299400004
2682130,14-08-2020,9,sapi,22,Infectious Bovine Rhinotracheitis,Jawa Barat,Kota Bekasi,Bekasi Utara,Harapanbaru,107.020900819641,-6.21279358849995
2691095,06-02-2020,2,sapi,22,Infectious Bovine Rhinotracheitis,Sumatera Utara,Labuhan Batu Selatan,Kota Pinang,Hadundung,100.066524711224,1.84727733850005
2691102,18-02-2020,1,sapi,22,Infectious Bovine Rhinotracheitis,Sumatera Utara,Labuhan Batu Selatan,Sei Kanan,Hajoran,99.9205391191238,1.74005197950004
2691097,06-02-2020,4,sapi,22,Infectious Bovine Rhinotracheitis,Sumatera Utara,Labuhan Batu Selatan,Kota Pinang,Mampang,100.037968079837,1.82849299400004
2690460,26-01-2020,4,sapi,22,Infectious Bovine Rhinotracheitis,Sumatera Utara,Labuhan Batu Selatan,Kampung Rakyat,Teluk Panji Ii,100.312443740899,2.05134474750005
2690469,06-01-2020,2,sapi,22,Infectious Bovine Rhinotracheitis,Sumatera Utara,Labuhan Batu Selatan,Silangkitang,Aek Goti,99.9692370824403,1.94091075100005
2682238,01-08-2020,1,sapi bali,24,Infectious Bovine Rhinotracheitis,Jawa Barat,Kota Bekasi,Bekasi Utara,Harapanbaru,107.020900819641,-6.21279358849995
