caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2410218,13-02-2020,1,Anjing,60,Rabies,Nusa Tenggara Barat,Sumbawa,Labangka,Labangka,117.740299649871,-8.90724399949994
2551099,09-09-2020,1,Anjing,60,Rabies,Nusa Tenggara Barat,Sumbawa,Labangka,Sekokat,117.689549786111,-8.89430649949995
2567047,04-10-2020,1,Anjing,60,Rabies,Bali,Karang Asem,Bebandem,Bebandem,115.549855426965,-8.43323649999994
2599003,23-11-2020,1,Anjing,60,Rabies,Bali,Tabanan,Tabanan,Denbantas,115.120462900799,-8.52941049999995
2615328,23-12-2020,1,anjing lokal,62,Rabies,Nusa Tenggara Barat,Sumbawa,Moyo Hulu,Mokong,117.466765908484,-8.58964599949996
2669976,04-11-2020,1,Anjing,60,Rabies,Jambi,Sarolangun,Singkut,Sungai Gedang,102.646636415771,-2.58987557799995
2684858,28-05-2020,1,anjing lokal,62,Rabies,Bali,Buleleng,Gerokgak,Banyupoh,114.65651772422,-8.17775499999996
2423172,28-02-2020,1,Anjing,60,Rabies,Nusa Tenggara Timur,Manggarai Barat,Lembor,Wae Kanta,120.265535301976,-8.66959649499995
2527469,04-08-2020,1,Anjing,60,Rabies,Jambi,Muaro Jambi,Mestong,Pondok Meja,103.631244268302,-1.76975685349996
2567329,05-10-2020,1,Anjing,60,Rabies,Nusa Tenggara Timur,Manggarai,Langke Rembong,Carep,120.472004407629,-8.63366149349994
2504447,01-07-2020,1,Anjing,60,Rabies,Bali,Buleleng,Seririt,Banjar Asem,114.891506369183,-8.20399599999996
2673150,23-04-2020,1,Anjing,60,Rabies,Sulawesi Utara,Minahasa,Tombariri Timur,Lemoh Barat,124.707841,1.385569
2683115,11-11-2020,1,Anjing,60,Rabies,Sumatera Utara,Medan,Medan Denai,Medan Tenggara,98.7228310749197,3.58433804550006
2603083,29-11-2020,1,anjing lokal,62,Rabies,Nusa Tenggara Barat,Sumbawa,Moyo Hulu,Marga Karya,117.359609011998,-8.62069390749994
