caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2680269,16-05-2020,5,ayam,3,Salmonellosis,Sulawesi Tengah,Poso,Pamona Utara,Sulewana,120.613320390669,-1.64408117399998
2674325,14-01-2020,15,ayam kampung,7,Salmonellosis,Sulawesi Tengah,Morowali,Bungku Barat,Wosu,121.750064149269,-2.45051597949995
2680256,21-02-2020,5,ayam,3,Salmonellosis,Sulawesi Tengah,Poso,Poso Kota,Gebang Rejo,120.717459922981,-1.42191350299996
2596418,18-11-2020,30,itik,10,Salmonellosis,Jawa Barat,Bandung,Baleendah,Baleendah,107.629252877273,-7.01753997799995
2690478,14-01-2020,1,sapi,22,Salmonellosis,Sumatera Utara,Labuhan Batu Selatan,Sei Kanan,Hajoran,99.9205391191238,1.74005197950004
2680246,07-05-2020,5,ayam,3,Salmonellosis,Sulawesi Tengah,Poso,Poso Kota,Kayamanya,120.676703407396,-1.42074507349994
2677583,06-01-2020,4,ayam,3,Salmonellosis,Sulawesi Tengah,Poso,Pamona Pusulemba,Pamona,120.567411834263,-1.70009338699995
2700534,28-06-2020,1,sapi,22,Salmonellosis,Sumatera Utara,Serdang Bedagai,Pantai Cermin,Ujung Rambung,98.9278654236306,3.60431871750004
2596422,18-11-2020,40,entog,15,Salmonellosis,Jawa Barat,Bandung,Baleendah,Baleendah,107.629252877273,-7.01753997799995
2680268,16-05-2020,5,ayam,3,Salmonellosis,Sulawesi Tengah,Poso,Pamona Utara,Sulewana,120.613320390669,-1.64408117399998
2680327,25-06-2020,5,ayam,3,Salmonellosis,Sulawesi Tengah,Poso,Lore Timur,Maholo,120.389961774168,-1.45867800599996
2677586,07-01-2020,5,ayam,3,Salmonellosis,Sulawesi Tengah,Poso,Poso Pesisir Utara,Tumora,120.432983608414,-1.16516250249995
2683269,21-05-2020,12,sapi,22,Salmonellosis,Sumatera Utara,Asahan,Teluk Dalam,Pulau Tanjung,99.6869262318838,2.81274854150004
2674281,07-01-2020,15,kambing Kacang,125,Salmonellosis,Sulawesi Tengah,Morowali,Bungku Pesisir,Laroue,121.963155254207,-2.72633849849996
