caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2434701,14-03-2020,1,Anjing,60,Tidak sakit,Riau,Dumai,Dumai Barat,Pangkalan Sesai,101.480273531262,1.61966638150005
2472035,11-05-2020,1,Anjing,60,Tidak sakit,Bali,Jembrana,Jembrana,Pendem,114.633545340502,-8.31014849999994
2555640,16-09-2020,1,Anjing,60,Tidak sakit,Jawa Barat,Bandung,Margahayu,Sulaeman,107.577155325323,-6.98569273949997
2403775,05-02-2020,1,Anjing,60,Tidak sakit,Riau,Dumai,Dumai Timur,Buluh Kasap,101.559863043636,1.62836414400005
2554687,15-09-2020,1,Anjing,60,Tidak sakit,Bali,Gianyar,Payangan,Puhu,115.256960798135,-8.38987499999996
2454641,13-04-2020,1,Anjing,60,Tidak sakit,Bali,Klungkung,Dawan,Kusamba,115.445522805136,-8.55890549999995
2575517,16-10-2020,1,Anjing,60,Tidak sakit,Jawa Barat,Bandung,Nagreg,Nagreg,107.894579853045,-7.01148629199994
2428514,05-03-2020,1,kucing,64,Tidak sakit,Riau,Dumai,Dumai Selatan,Bumi Ayu,101.264234015972,1.74797606250004
2413220,17-02-2020,1,Anjing,60,Tidak sakit,Riau,Bengkalis,Mandau,Babussalam,101.1364405679,1.20833200050006
2412230,15-02-2020,1,Anjing,60,Tidak sakit,Kalimantan Barat,Ketapang,Delta Pawan,Sampit,109.95123110977,-1.79819154699996
2523623,28-07-2020,1,Anjing,60,Tidak sakit,Jawa Barat,Bandung,Majalaya,Wangisagara,107.732241204119,-7.07983899099995
2523218,28-07-2020,1,Anjing,60,Tidak sakit,Riau,Bengkalis,Pinggir,Semunai,101.330725575164,1.10855734250003
2434720,14-03-2020,1,Anjing,60,Tidak sakit,Riau,Bengkalis,Bantan,Berancah,102.426579101153,1.46086126500006
2499734,24-06-2020,1,Anjing luar dewasa,220,Tidak sakit,Sumatera Barat,Sijunjung,Lubuk Tarok,Lubuk Tarok,101.033915716125,-0.84010875149994
2472467,11-05-2020,1,kera,68,Tidak sakit,Kalimantan Barat,Kapuas Hulu,Batang Lupar,Sungai Ajung,112.361264574894,0.960711866500048
2527330,04-08-2020,1,Anjing,60,Tidak sakit,Bali,Karang Asem,Sidemen,Sidemen,115.455361898761,-8.47187999999997
2443512,27-03-2020,1,Anjing,60,Tidak sakit,Bali,Klungkung,Dawan,Kusamba,115.445522805136,-8.55890549999995
2519543,23-07-2020,1,Anjing,60,Tidak sakit,Bali,Karang Asem,Abang,Culik,115.607704223464,-8.33449399999995
2407360,10-02-2020,1,Anjing,60,Tidak sakit,Sumatera Barat,Sijunjung,Sumpur Kudus,Tanjung Bonar Aur,100.884251897608,-0.518779083499965
2420054,25-02-2020,1,Anjing,60,Tidak sakit,Kalimantan Barat,Ketapang,Delta Pawan,Mulia Baru,110.016204546125,-1.83380311699995
2612721,18-12-2020,1,Anjing,60,Tidak sakit,Bali,Gianyar,Tampak Siring,Pejeng Kangin,115.298416074437,-8.48384899999994
2553221,12-09-2020,1,kucing,64,Tidak sakit,Riau,Dumai,Dumai kota,Bintan,101.264234015972,1.74797606250004
2417258,21-02-2020,1,Anjing,60,Tidak sakit,Riau,Bengkalis,Bathin Solapan,Sebangar,101.119810463826,1.29699773150006
2413115,17-02-2020,1,Anjing,60,Tidak sakit,Bali,Klungkung,Dawan,Gunaksa,115.423178920945,-8.54645749999995
2536214,18-08-2020,1,Anjing,60,Tidak sakit,Bali,Karang Asem,Sidemen,Talibeng,115.455511104657,-8.48633499999994
2395528,27-01-2020,1,Anjing,60,Tidak sakit,Riau,Dumai,Dumai Barat,Rimba Sekampung,101.515493781297,1.62410354450006
2407208,10-02-2020,1,Anjing,60,Tidak sakit,Bali,Karang Asem,Sidemen,Tri Eka Buana,115.453825965505,-8.50253699999996
2428843,06-03-2020,1,Anjing,60,Tidak sakit,Bali,Gianyar,Ubud,Ubud,115.259240231491,-8.49945199999996
2428182,05-03-2020,1,Anjing,60,Tidak sakit,Riau,Bengkalis,Bathin Solapan,Pematang Obo,101.226424289857,1.25444936600004
2460761,23-04-2020,1,Anjing,60,Tidak sakit,Bali,Klungkung,Dawan,Paksebali,115.410906519774,-8.52931999999996
2500024,24-06-2020,1,Anjing,60,Tidak sakit,Bali,Klungkung,Banjarangkan,Bungbungan,115.371773069582,-8.48296649999997
2395291,27-01-2020,1,Anjing,60,Tidak sakit,Bali,Karang Asem,Bebandem,Buana Giri,115.545875912256,-8.39020899999994
2386453,16-01-2020,1,Anjing,60,Tidak sakit,Jawa Barat,Bandung,Nagreg,Bojong,107.864254801751,-7.03967809699995
2607528,07-12-2020,1,Anjing,60,Tidak sakit,Riau,Bengkalis,Pinggir,Pangkalan libut,101.296101815396,1.12094625750007
2526760,03-08-2020,1,Anjing,60,Tidak sakit,Bali,Jembrana,Pekutatan,Manggissari,114.891260921394,-8.37899399999995
2620023,31-12-2020,1,Anjing,60,Tidak sakit,Riau,Dumai,Dumai Selatan,Bumi Ayu,101.264234015972,1.74797606250004
2410396,13-02-2020,1,Anjing,60,Tidak sakit,Bali,Karang Asem,Sidemen,Sangkan Gunung,115.437255670002,-8.46458749999996
2379744,08-01-2020,1,Anjing,60,Tidak sakit,Bali,Karang Asem,Bebandem,Jungutan,115.520858284039,-8.41261999999995
2465331,28-04-2020,1,Anjing,60,Tidak sakit,Bali,Gianyar,Ubud,Kedewatan,115.246801804529,-8.48084799999995
2408334,11-02-2020,1,Anjing,60,Tidak sakit,Bali,Karang Asem,Sidemen,Sidemen,115.455361898761,-8.47187999999997
2393689,25-01-2020,1,Anjing,60,Tidak sakit,Bali,Klungkung,Klungkung,Selat,115.401164294258,-8.49844149999996
2435035,15-03-2020,1,Anjing,60,Tidak sakit,Bali,Karang Asem,Bebandem,Bungaya Kangin,115.569656903943,-8.45392849999993
2416489,20-02-2020,1,kucing,64,Tidak sakit,Kalimantan Barat,Ketapang,Benua Kayong,Banjar,110.07120098426,-1.87020605799995
2386076,16-01-2020,1,Anjing,60,Tidak sakit,Bali,Karang Asem,Sidemen,Sangkan Gunung,115.437255670002,-8.46458749999996
2426377,03-03-2020,1,Anjing,60,Tidak sakit,Riau,Dumai,Sungai Sembilan,Lubuk Gaung,101.316335144986,1.65326772200007
2428049,05-03-2020,1,Anjing,60,Tidak sakit,Bali,Klungkung,Banjarangkan,Bungbungan,115.371773069582,-8.48296649999997
2616115,25-12-2020,1,kucing,64,Tidak sakit,Bali,Karang Asem,Sidemen,Talibeng,115.455511104657,-8.48633499999994
2515925,18-07-2020,1,Anjing,60,Tidak sakit,Riau,Bengkalis,Pinggir,Titian Antui,101.332722584483,1.14976215250005
