caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2768614,08-07-2021,24,babi,55,African swine fever,Kalimantan Utara,Nunukan,Krayan,Wa Yagung,115.877951546633,3.97068583950005
2934994,27-02-2021,1,babi,55,African swine fever,Nusa Tenggara Timur,Sabu Raijua,Sabu Barat,Mebba,121.86256331516,-10.5053999794999
2904029,15-11-2021,2,babi,55,African swine fever,Jawa Timur,Blitar,Doko,Sumber Urip,112.449746401761,-7.99216842649994
2692265,26-03-2021,9,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Soa,Seso,121.032553888143,-8.69937348999997
2689708,23-01-2021,6,babi,55,African swine fever,Sumatera Utara,Dairi,Sidikalang,Batang Beruh,98.3182466269098,2.74998436100006
2683894,16-03-2021,10,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Soa,Seso,121.032553888143,-8.69937348999997
3136530,15-02-2021,2,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Riung,Latung,120.967930947591,-8.42112699049994
2686260,01-03-2021,51,babi,55,African swine fever,Nusa Tenggara Timur,Lembata,Ile Ape,Petuntawa,123.463902940423,-8.30008194899995
2670014,15-01-2021,623,babi,55,African swine fever,Nusa Tenggara Timur,Flores Timur,Tanjung Bunga,Waibao,122.772518196655,-8.19727596549995
2651368,10-02-2021,25,babi,55,African swine fever,Nusa Tenggara Timur,Manggarai Barat,Welak,Lale,120.175584111459,-8.66486549599998
2667084,15-01-2021,269,babi,55,African swine fever,Nusa Tenggara Timur,Flores Timur,Wulanggitang,Pantai Oa,122.754808897734,-8.59151046599996
3136441,15-02-2021,20,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Bajawa Utara,Uluwae,120.91401531135,-8.69303499099993
2862473,19-10-2021,10,babi,55,African swine fever,Kalimantan Tengah,Gunung Mas,Kurun,Kuala Kurun,113.83822959897,-0.784466147499955
2683446,16-03-2021,4,babi,55,African swine fever,Nusa Tenggara Timur,Nagekeo,Aesesa Selatan,Renduwawo,121.234142292851,-8.69837248799993
2933995,06-02-2021,3,babi,55,African swine fever,Nusa Tenggara Timur,Sabu Raijua,Sabu Barat,Nadawawi,121.900003324573,-10.4970999785
2668721,01-03-2021,26,babi,55,African swine fever,Nusa Tenggara Timur,Manggarai Barat,Komodo,Batu Cermin,119.919501023051,-8.49042949599993
2646977,05-02-2021,3,babi,55,African swine fever,Nusa Tenggara Timur,Sikka,Talibura,Ojang,122.66627257333,-8.45807353199996
2919552,17-12-2021,5,babi,55,African swine fever,Kalimantan Tengah,Palangka Raya,Jekan Raya,Menteng,113.836827334665,-2.02168911699997
2648662,08-02-2021,16,babi,55,African swine fever,Nusa Tenggara Timur,Alor,Alor Timur Laut,Nailang,124.766704336918,-8.31203289549995
2853620,10-10-2021,25,babi,55,African swine fever,Kalimantan Tengah,Katingan,Pulau Malan,Buntut Bali,113.216548207564,-1.67035156499998
2620787,03-01-2021,3,babi,55,African swine fever,Jawa Tengah,Klaten,Ngawen,Manjung,110.588897928751,-7.68136999999993
2660734,21-02-2021,25,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Wolomeze,Nginamanu Selatan,121.022031188809,-8.65213248999996
2892741,17-11-2021,324,babi,55,African swine fever,Kalimantan Tengah,Palangka Raya,Jekan Raya,Bukit Tunggal,113.69875881081,-1.94673228249994
3136658,15-03-2021,1,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Bajawa,Trikora,120.951753969437,-8.77208599049993
2691642,25-03-2021,8,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Golewa,Ratogesa,121.064930782517,-8.84847998999996
2706548,15-04-2021,23,babi,55,African swine fever,Jawa Tengah,Semarang,Getasan,Getasan,110.438137564271,-7.37545199999994
2861162,18-10-2021,43,babi,55,African swine fever,Kalimantan Tengah,Palangka Raya,Jekan Raya,Bukit Tunggal,113.69875881081,-1.94673228249994
2662560,23-02-2021,2,babi,55,African swine fever,Nusa Tenggara Timur,Manggarai Barat,Komodo,Wae Kelambu,119.94670174618,-8.49957849699996
2678417,10-03-2021,3,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Bajawa,Tanalodu,120.96440973392,-8.77955899049996
2871242,27-10-2021,79,babi,55,African swine fever,Kalimantan Tengah,Palangka Raya,Jekan Raya,Bukit Tunggal,113.69875881081,-1.94673228249994
2664983,25-02-2021,100,babi,55,African swine fever,Nusa Tenggara Timur,Nagekeo,Aesesa,Danga,121.266888679026,-8.58567198899996
2936984,13-03-2021,5,babi,55,African swine fever,Nusa Tenggara Timur,Sabu Raijua,Hawu Mehara,Molie,121.740562106654,-10.556934981
2937047,18-03-2021,18,babi,55,African swine fever,Nusa Tenggara Timur,Sabu Raijua,Sabu Tengah,Eimadake,121.92445982268,-10.4832349785
2669986,15-01-2021,150,babi,55,African swine fever,Nusa Tenggara Timur,Flores Timur,Adonara Tengah,Hoko Horowura,123.045499397,-8.34837096099997
2683642,16-03-2021,18,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Golewa Barat,Sobo I,121.022031188809,-8.65213248999996
2768609,08-07-2021,6,babi,55,African swine fever,Kalimantan Utara,Nunukan,Krayan,Bungayan,115.832199908023,4.00699746600006
2862629,23-09-2021,38,babi,55,African swine fever,Jawa Timur,Malang,Dau,Mulyoagung,112.564797774147,-7.92172050449994
2669084,01-03-2021,8,babi,55,African swine fever,Nusa Tenggara Timur,Nagekeo,Boawae,Natanage,121.164479066413,-8.78746698899997
2666736,26-02-2021,12,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Riung,Benteng Tengah,121.012216613804,-8.43986898999995
2660537,20-02-2021,4,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Bajawa,Lebijaga,120.970522597437,-8.76000698999997
2666992,15-01-2021,77,babi,55,African swine fever,Nusa Tenggara Timur,Flores Timur,Larantuka,Amagarapati,122.991704708734,-8.28954596149995
2655280,15-02-2021,1,babi,55,African swine fever,Nusa Tenggara Timur,Sikka,Bola,Umauta,122.315555002142,-8.72307097349994
2662879,23-02-2021,152,babi,55,African swine fever,Nusa Tenggara Timur,Manggarai Barat,Lembor Selatan,Wae Mose,120.188529862203,-8.70914499599996
2638281,26-01-2021,1,babi,55,African swine fever,Nusa Tenggara Timur,Sikka,Nelle,Nelle Wutung,122.231706996152,-8.70312447649994
2867626,25-10-2021,71,babi,55,African swine fever,Kalimantan Tengah,Gunung Mas,Manuhing Raya,Kel. Tehang,113.549742682002,-0.895158335499957
2687674,21-03-2021,569,babi,55,African swine fever,Nusa Tenggara Timur,Alor,Pantar Barat,Leer,124.055367166091,-8.35849092699996
2862414,19-10-2021,8,babi,55,African swine fever,Kalimantan Tengah,Gunung Mas,Tewah,Batu Nyiwuh,113.632377918541,-0.789366960499962
2733161,24-05-2021,15,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Bajawa Utara,Inelika,120.966991439547,-8.72085799099995
2684055,14-01-2021,2,babi,55,African swine fever,Sumatera Utara,Humbang Hasundutan,Parlilitan,Sihas Habinsaran,98.4622904977682,2.25584076100003
2717630,28-04-2021,92,babi,55,African swine fever,Sumatera Utara,Tapanuli Tengah,Sorkam,Pargarutan,98.602560292635,1.91465537400003
3136635,15-02-2021,1,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Golewa,Mataloko,121.039399050962,-8.80025198949997
2642043,29-01-2021,10,babi,55,African swine fever,Nusa Tenggara Timur,Sikka,Magepanda,Magepanda,122.056566395634,-8.56130097899995
2664320,24-02-2021,14,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Bajawa Utara,Inegena,120.984667424792,-8.69333048999994
2666970,15-01-2021,99,babi,55,African swine fever,Nusa Tenggara Timur,Flores Timur,Ile Mandiri,Lewohala,122.93826126996,-8.26375096249996
2654404,14-02-2021,1,babi,55,African swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Kota Tambolaka,Kadi Pada,119.255307641982,-9.48402099749995
2668968,15-01-2021,339,babi,55,African swine fever,Nusa Tenggara Timur,Flores Timur,Lewolema,Ile Padung,122.874782820157,-8.29823346449996
2651364,10-02-2021,20,babi,55,African swine fever,Nusa Tenggara Timur,Manggarai Barat,Welak,Orong,120.233422205688,-8.63092349549996
2937097,22-03-2021,25,babi,55,African swine fever,Nusa Tenggara Timur,Sabu Raijua,Sabu Tengah,Bebae,121.945477345092,-10.545889978
2638382,26-01-2021,16,babi,55,African swine fever,Nusa Tenggara Timur,Sikka,Doreng,Wolomotong,122.344415507776,-8.72082847349995
2662530,23-02-2021,152,babi,55,African swine fever,Nusa Tenggara Timur,Manggarai Barat,Lembor Selatan,Wae Mose,120.188529862203,-8.70914499599996
2647276,05-02-2021,34,babi,55,African swine fever,Nusa Tenggara Timur,Sikka,Nita,Takaplager,122.191310441174,-8.64152147649995
2669919,15-01-2021,99,babi,55,African swine fever,Nusa Tenggara Timur,Flores Timur,Wotan Ulumado,Wailebe,123.011143375235,-8.38868596099994
2656057,16-02-2021,1,babi,55,African swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Kota Tambolaka,Radamata,119.279854855004,-9.39005049749994
2666322,26-02-2021,398,babi,55,African swine fever,Nusa Tenggara Timur,Lembata,Lebatukan,Baopana,123.514790569883,-8.37154294699997
2935054,28-02-2021,1,babi,55,African swine fever,Nusa Tenggara Timur,Sabu Raijua,Sabu Tengah,Eilode,121.928315147023,-10.4682356185
2934973,26-02-2021,25,babi,55,African swine fever,Nusa Tenggara Timur,Sabu Raijua,Sabu Barat,Raeloro,121.876143163945,-10.5221199795
2655318,15-02-2021,7,babi,55,African swine fever,Nusa Tenggara Timur,Sikka,Nelle,Nelle Wutung,122.231706996152,-8.70312447649994
2935151,03-03-2021,1,babi,55,African swine fever,Nusa Tenggara Timur,Sabu Raijua,Sabu Tengah,Eimadake,121.92445982268,-10.4832349785
2686285,28-02-2021,112,babi,55,African swine fever,Nusa Tenggara Timur,Lembata,Atadei,Katakeja,123.462980325647,-8.43908344849993
2646286,04-02-2021,5,babi,55,African swine fever,Nusa Tenggara Timur,Alor,Alor Timur Laut,Kamot,124.765372584872,-8.20068989349997
2692095,26-03-2021,52,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Golewa Barat,Sobo I,121.022031188809,-8.65213248999996
3134564,15-02-2021,1,babi,55,African swine fever,Nusa Tenggara Timur,Ngada,Bajawa,Lebijaga,120.970522597437,-8.76000698999997
2669997,15-01-2021,97,babi,55,African swine fever,Nusa Tenggara Timur,Flores Timur,Adonara Tengah,Lite,123.121782111116,-8.31671095949997
2839827,29-09-2021,17,babi,55,African swine fever,Kalimantan Tengah,Gunung Mas,Mihing Raya,Dahian Tambuk,113.952147315685,-1.04308593249993
2686261,02-03-2021,139,babi,55,African swine fever,Nusa Tenggara Timur,Lembata,Atadei,Dori Pewut,123.48727833151,-8.47126944849995
2670565,15-01-2021,195,babi,55,African swine fever,Nusa Tenggara Timur,Flores Timur,Witihama,Baobage,123.284551815017,-8.28481445599996
2666987,15-01-2021,16,babi,55,African swine fever,Nusa Tenggara Timur,Flores Timur,Larantuka,Lohayong,123.002304750443,-8.30761046249995
