caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2885988,13-07-2021,2,sapi,22,Cacingan,Sumatera Utara,Langkat,Babalan,Pelawi Utara,98.2915445844608,3.95745297950006
2675390,05-01-2021,2,Kucing Angora,537,Cacingan,Gorontalo,Pohuwato,Marisa,Palopo,121.962605,0.464983
3141004,15-05-2021,4,sapi,22,Cacingan,Nusa Tenggara Timur,Ngada,Golewa,Todabelu,121.050557412613,-8.81275448949995
2903981,16-10-2021,2,sapi,22,Cacingan,Sumatera Utara,Serdang Bedagai,Tebingtinggi,Sungai Periok,99.211880068865,3.41130004700005
2948731,15-06-2021,1,sapi,22,Cacingan,Sulawesi Tengah,Palu,Tatanga,Boyaoge,119.833998709725,-0.951201736499939
2941882,14-08-2021,1,sapi,22,Cacingan,Nusa Tenggara Timur,Rote Ndao,Rote Barat Daya,Oebaffok,122.975566363604,-10.8326749574999
3140951,15-06-2021,2,babi,55,Cacingan,Nusa Tenggara Timur,Ngada,Riung Barat,Wolomeze,120.950024124364,-8.55712649049997
2740366,23-05-2021,1,sapi,22,Cacingan,Sumatera Utara,Serdang Bedagai,Sipispis,Sipispis,99.0068085926504,3.18085215800005
2958916,13-12-2021,1,sapi bali,24,Cacingan,Kepulauan Riau,Natuna,Bunguran Batubi,Gunung Putri ,108.150953924281,3.90655720250007
3149688,15-12-2021,2,babi,55,Cacingan,Nusa Tenggara Timur,Ngada,Golewa Selatan,Sadha,121.083774836514,-8.86165248949996
3136715,15-04-2021,4,sapi,22,Cacingan,Nusa Tenggara Timur,Ngada,Bajawa Utara,Inelika,120.966991439547,-8.72085799099995
2948386,12-11-2021,15,sapi,22,Cacingan,Sumatera Utara,Langkat,Batang Serangan,Batang Serangan,98.275149163863,3.75473472350006
3148964,15-12-2021,15,babi,55,Cacingan,Nusa Tenggara Timur,Ngada,Golewa Barat,Sobo,121.027703889697,-8.79314299049994
2877096,26-08-2021,5,domba,46,Cacingan,Sumatera Utara,Langkat,Sawit Seberang,Simpang 3 Swt Seberang,98.290410019198,3.84463736200004
2877145,15-07-2021,8,sapi,22,Cacingan,Sumatera Utara,Langkat,Batang Serangan,Batang Serangan,98.275149163863,3.75473472350006
3148914,15-11-2021,3,babi,55,Cacingan,Nusa Tenggara Timur,Ngada,Golewa Barat,Rakateda I,121.013920401926,-8.85939549099996
2771361,26-05-2021,1,sapi bali,24,Cacingan,Kepulauan Riau,Natuna,Bunguran Tengah,Harapan Jaya,108.248020050235,3.91220867650006
2746925,05-04-2021,1,sapi bali,24,Cacingan,Kepulauan Riau,Natuna,Bunguran Timur,Ranai,108.321942545919,3.96349549300004
3140615,15-04-2021,1,sapi,22,Cacingan,Nusa Tenggara Timur,Ngada,Bajawa Utara,Uluwae,120.91401531135,-8.69303499099993
2769291,23-02-2021,2,sapi,22,Cacingan,Bengkulu,Bengkulu Tengah,Pematang Tiga,Aturan Mumpo,102.26385068208,-3.61884799849994
3148537,15-10-2021,6,kerbau,36,Cacingan,Nusa Tenggara Timur,Ngada,Wolomeze,Nginamanu,121.120193142018,-8.64601849049996
2750136,11-02-2021,9,sapi,22,Cacingan,Sumatera Utara,Langkat,Padang Tualang,Tebing Tj Selamat,98.3229101230125,3.77661761550004
3140900,15-06-2021,25,sapi,22,Cacingan,Nusa Tenggara Timur,Ngada,Bajawa Utara,Uluwae II,120.925883219994,-8.69671599149996
2877067,14-07-2021,22,sapi,22,Cacingan,Sumatera Utara,Langkat,Sawit Seberang,Simpang 3 Swt Seberang,98.290410019198,3.84463736200004
2959605,08-10-2021,1,sapi,22,Cacingan,Sumatera Utara,Langkat,Selesai,Mancang,98.4237499317898,3.58940837050005
2676250,14-02-2021,1,sapi,22,Cacingan,Kepulauan Riau,Tanjung Pinang,Tanjung Pinang Timur,Air Raja,104.526966110153,0.888581824500051
2940651,02-01-2021,29,sapi,22,Cacingan,Sumatera Selatan,Musi Rawas,Muara Kelingi,Tugu Sempurna,103.177123976494,-2.96645849899997
3136680,15-02-2021,13,babi,55,Cacingan,Nusa Tenggara Timur,Ngada,Jerebuu,Tiworiwu II,120.97970474101,-8.88602098999996
2910086,16-10-2021,8,sapi,22,Cacingan,Sumatera Utara,Asahan,Air Joman,Punggulan,99.7144912910269,3.00075959150004
2932280,12-12-2021,1,sapi,22,Cacingan,Sulawesi Tengah,Poso,Pamona Selatan,Panda Jaya,120.690315873975,-2.15084969799994
