prop,anthraks,hpai,brucelosis,rabies,jembrana,lpai,csf,asf,lsd,pmk,lainnya
Aceh,,,,,,1,,,,,482
Bali,,,,229,,,,,,,333
Bangka Belitung,,40,,,,,,233,,,
Banten,,562,,,,2,,,,,
Bengkulu,,,,4,1799,,,,,,420
Di Yogyakarta,6,2010,,,,,,,,,1
Dki Jakarta,,,37,,,,,,,,7
Gorontalo,,1,,15,,,,,,,153
Jambi,,,,14,434,,,,,,7
Jawa Barat,,2660,22,,,,,,,,1333
Jawa Tengah,2,572,9,,,2,,30,,,48
Jawa Timur,6,1935,51,,,,12,511,,,204
Kalimantan Barat,,,,29,,,,1572,,,29
Kalimantan Selatan,,,7,9,2,,,,,,11
Kalimantan Tengah,,,,21,49,,15,2760,,,17
Kalimantan Timur,,,,1,,,,869,,,
Kalimantan Utara,,,1,,,,,394,,,1669
Kepulauan Riau,,,,,15,,,,,,1849
Lampung,,,15,1,8,510,,14,,,
Nusa Tenggara Barat,7,,,429,,,,,,,133
Nusa Tenggara Timur,,,,36,,422,63,90138,,,4280
Papua,,,7,,,,15,,,,1517
Riau,,,,29,58,,,12,,,290
Sulawesi Barat,,41,30,10,,,,,,,204
Sulawesi Selatan,,4700,13,94,,119,,,,,3215
Sulawesi Tengah,,84,3,38,,,,,,,466
Sulawesi Utara,,,,208,,,,,,,79
Sumatera Barat,,500,,40,40,,,23,,,117
Sumatera Selatan,,50,,1,49,,,50,,,1469
Sumatera Utara,,1624,13,76,19,,191,344,,,9609
