caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2972555,11-02-2022,1,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Kota Tambolaka,Watu Kawula,119.22060725967,-9.48007749799996
3051339,07-04-2022,6,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Barat,Waimangura,119.260397657178,-9.52675199749996
2971860,11-02-2022,1,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Kota Tambolaka,Wee Tobula,119.283011010081,-9.44057199799997
3091973,06-05-2022,4,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Kota Tambolaka,Wee Londa,119.23039580046,-9.41859199749996
3043466,02-04-2022,3,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Kodi Utara,Bukambero,119.155285529038,-9.45729649699996
3517297,08-12-2022,9,babi,55,Classical swine fever,Nusa Tenggara Timur,Manggarai Timur,Borong,Rana Loba,120.595708285601,-8.76485699349996
3066930,16-04-2022,2,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Barat,Kalembu Weri,119.23251858387,-9.55265099749994
3111329,21-05-2022,1,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Barat,Kalembu Weri,119.23251858387,-9.55265099749994
3005583,08-03-2022,1,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Loura,Ramma Dana,119.327641584167,-9.41874699799996
3194039,29-06-2022,1,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Loura,Lete Konda,119.361218474877,-9.41388649749996
3189021,26-06-2022,2,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Kodi Bangedo,Maliti Bondo Ate,119.110601432407,-9.65082149849997
2962662,02-02-2022,3,babi,55,Classical swine fever,Sumatera Utara,Toba Samosir,Siantar Narumonda,Narumonda Iv,99.1728614016624,2.43103264550004
3363584,13-10-2022,2,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Loura,Pogotena,119.30289164708,-9.42545999749996
3080400,24-04-2022,4,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Tengah,Wee Rame,119.286412,-9.54309
3074133,11-01-2022,1,babi,55,Classical swine fever,Sumatera Utara,Pematang Siantar,Siantar Marihat,Pematang Marihat,99.0652286942604,2.93526576400004
3393412,03-11-2022,1,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Kodi Bangedo,Walla Ndimu,119.082098397592,-9.62916049899997
3046006,04-04-2022,1,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Loura,Karuni,119.34266434891,-9.42407399799995
3415572,29-08-2022,10,babi,55,Classical swine fever,Jawa Timur,Mojokerto,Jatirejo,Tawangrejo,112.414727659206,-7.65939116499996
3111466,21-05-2022,2,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Barat,Waimangura,119.260397657178,-9.52675199749996
3040546,31-03-2022,2,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Loura,Ramma Dana,119.327641584167,-9.41874699799996
2966556,07-02-2022,2,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Loura,Lete Konda,119.361218474877,-9.41388649749996
3053941,08-04-2022,9,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Tengah,Omba Rande,119.321023956917,-9.58278999799995
3051225,07-04-2022,7,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Wewewa Tengah,Kanelu,119.313191513549,-9.53444049749996
3040222,31-03-2022,1,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Kota Tambolaka,Kadi Pada,119.255307641982,-9.48402099749995
3181703,23-06-2022,1,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Kodi Bangedo,Walla Ndimu,119.082098397592,-9.62916049899997
3004885,08-03-2022,2,babi,55,Classical swine fever,Sumatera Utara,Toba Samosir,Porsea,Parparean Iii,99.1586275028441,2.44555364850004
3081454,25-04-2022,1,babi,55,Classical swine fever,Nusa Tenggara Timur,Sumba Barat Daya,Kota Tambolaka,Wee Tobula,119.283011010081,-9.44057199799997
