caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
3280194,21-08-2022,12,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Aburan Batang Tebo,102.368871615969,-1.54054939649996
3274381,17-08-2022,7,kerbau,36,miasis,Jambi,Tebo,Tebo Ilir,Betung Bedarah Barat,102.598831122875,-1.58852356599996
3271217,15-08-2022,5,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Sungai Keruh,102.571480998224,-1.49196398199996
3216834,13-07-2022,5,kerbau,36,miasis,Jambi,Tebo,Tengah Ilir,Penapalan,102.594570454736,-1.53868329499997
3257825,07-08-2022,2,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Kel Tebing Tinggi,102.462035499889,-1.51529294199995
3245040,29-07-2022,7,kerbau,36,miasis,Jambi,Tebo,Tebo Ilir,Betung Bedarah Barat,102.598831122875,-1.58852356599996
3276798,18-08-2022,7,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Aburan Batang Tebo,102.368871615969,-1.54054939649996
3248160,01-08-2022,7,kerbau,36,miasis,Jambi,Tebo,Tebo Ulu,Lubuk Benteng,102.290793961673,-1.22368413149997
3266455,12-08-2022,8,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Sungai Keruh,102.571480998224,-1.49196398199996
3225854,19-07-2022,5,kerbau,36,miasis,Jambi,Tebo,Tebo Ilir,Sungai Bengkal Barat,102.673782175806,-1.61751415949996
3282009,22-08-2022,4,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Sungai Keruh,102.571480998224,-1.49196398199996
3264034,10-08-2022,2,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Sungai Keruh,102.571480998224,-1.49196398199996
3256579,05-08-2022,1,kerbau,36,miasis,Jambi,Tebo,Tebo Ulu,Pulau Panjang,102.306309787116,-1.26854288549993
3276794,18-08-2022,5,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Teluk Pandak,102.529532061082,-1.54948639799997
3002483,21-01-2022,1,kucing lokal,66,miasis,Kepulauan Riau,Natuna,Bunguran Timur,Ranai Darat,108.35851,3.952751
3248234,01-08-2022,8,kerbau,36,miasis,Jambi,Tebo,Tebo Ulu,Pulau Panjang,102.306309787116,-1.26854288549993
3256068,05-08-2022,7,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Sungai Keruh,102.571480998224,-1.49196398199996
3276787,18-08-2022,13,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Tengah Ulu,102.501736509941,-1.54769182149997
3271596,16-08-2022,3,kerbau,36,miasis,Jambi,Tebo,Tebo Ilir,Betung Bedarah Barat,102.598831122875,-1.58852356599996
3271414,15-08-2022,8,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Sungai Keruh,102.571480998224,-1.49196398199996
3264032,10-08-2022,6,kerbau,36,miasis,Jambi,Tebo,Sumay,Lembak Bungur,102.448976743557,-1.38935261899996
3259431,08-08-2022,2,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Sungai Keruh,102.571480998224,-1.49196398199996
3274032,17-08-2022,4,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Semabu,102.505856102691,-1.49211978849996
3267490,12-08-2022,3,kerbau,36,miasis,Jambi,Tebo,Tebo Ilir,Sungai Aro,102.679251614918,-1.55423164349995
3257067,06-08-2022,2,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Mangun Jayo,102.477818171818,-1.54409855549997
3228088,20-07-2022,3,kerbau,36,miasis,Jambi,Tebo,Tebo Ulu,Lubuk Benteng,102.290793961673,-1.22368413149997
3273948,17-08-2022,8,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Kel Tebing Tinggi,102.462035499889,-1.51529294199995
3273950,17-08-2022,14,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Kel Muara Tebo,102.446507458163,-1.53720742399994
3272357,16-08-2022,12,kerbau,36,miasis,Jambi,Tebo,Tebo Tengah,Mangun Jayo,102.477818171818,-1.54409855549997
