caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
3264685,11-08-2022,1,kucing,64,Panleukopenia,Sulawesi Utara,Minahasa,Tombariri,Ranowangko,124.659615287912,1.36670384750005
3319824,12-09-2022,1,kucing,64,Panleukopenia,Sulawesi Utara,Minahasa,Tondano Utara,Kembuan Satu,124.907062,1.31789
3189783,27-06-2022,1,kucing,64,Panleukopenia,Sulawesi Utara,Minahasa,Tompaso,Sendangan Ii,124.787197371421,1.16644303150005
2993073,26-02-2022,2,kucing,64,Panleukopenia,Sulawesi Utara,Minahasa,Sonder,Timbukar,124.760033178811,1.23817203500005
3189773,27-06-2022,1,kucing,64,Panleukopenia,Sulawesi Utara,Minahasa,Tompaso Barat,Touure,124.808168,1.166439
3354830,05-10-2022,1,kucing,64,Panleukopenia,Sulawesi Utara,Minahasa,Tompaso,Tempok,124.774326040853,1.17908350750005
3317683,09-09-2022,1,kucing,64,Panleukopenia,Sulawesi Utara,Minahasa,Tompaso Barat,Tompaso Dua Utara,124.794755,1.19251
3357957,08-10-2022,1,kucing,64,Panleukopenia,Sulawesi Utara,Minahasa,Tompaso,Talikuran,124.766209198416,1.16526589950004
3354831,05-10-2022,1,kucing,64,Panleukopenia,Sulawesi Utara,Minahasa,Tompaso,Tempok Selatan,124.783602431995,1.16704545550004
3183868,23-06-2022,1,kucing,64,Panleukopenia,Sulawesi Utara,Minahasa,Tombariri Timur,Lolah Dua,124.71422,1.370929
3091899,06-05-2022,1,kucing,64,Panleukopenia,Sulawesi Utara,Minahasa,Langowan Utara,Walantakan,124.836360644427,1.14532641700006
2967527,07-02-2022,2,kucing,64,Panleukopenia,Sulawesi Utara,Minahasa,Sonder,Tincep,124.794202033181,1.23181424550003
3491654,12-12-2022,1,kucing,64,Panleukopenia,Sulawesi Utara,Minahasa,Langowan Utara,Karumenga,124.840686249784,1.15377609000006
