caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
3353182,04-10-2022,1,Anjing,60,Parvovirus,Sulawesi Utara,Minahasa,Langowan Utara,Karumenga,124.840686249784,1.15377609000006
3015912,16-03-2022,1,kucing,64,Parvovirus,Sulawesi Utara,Minahasa,Sonder,Kauneran Satu,124.771182,1.25453
3074152,29-04-2022,2,Anjing,60,Parvovirus,Sumatera Utara,Pematang Siantar,Siantar Timur,Siopat Suhu,99.0758264478438,2.97384403600003
3085573,27-04-2022,1,Anjing,60,Parvovirus,Bali,Karang Asem,Karang Asem,Seraya Barat,115.630053933043,-8.46257999999995
3354824,05-10-2022,1,Anjing,60,Parvovirus,Sulawesi Utara,Minahasa,Tompaso Barat,Pinabetengan,124.763869,1.143448
3253783,04-08-2022,1,kucing,64,Parvovirus,Sulawesi Utara,Minahasa,Tompaso,Tempok,124.774326040853,1.17908350750005
3038987,30-03-2022,1,Anjing,60,Parvovirus,Sulawesi Utara,Minahasa,Pineleng,Sea,124.783824405993,1.39898017800004
2996683,01-03-2022,1,Anjing,60,Parvovirus,Sumatera Utara,Tapanuli Utara,Tarutung,Hapoltahan,98.9977233283994,1.99296026350004
3236823,25-07-2022,1,Anjing,60,Parvovirus,Sulawesi Utara,Minahasa,Sonder,Talikuran,124.768200912358,1.27266160650004
3004009,11-01-2022,2,anjing lokal,62,Parvovirus,Sumatera Utara,Sibolga,Sibolga Selatan,Aek Muara Pinang,98.8212574139801,1.69388477950002
3004273,31-01-2022,1,anjing lokal,62,Parvovirus,Sumatera Utara,Sibolga,Sibolga Selatan,Aek Parombunan,98.8208238259968,1.71514063000004
3357958,08-10-2022,1,Anjing,60,Parvovirus,Sulawesi Utara,Minahasa,Tompaso,Talikuran,124.766209198416,1.16526589950004
2942942,11-01-2022,2,Anjing dalam anak,217,Parvovirus,Sumatera Utara,Medan,Medan Tuntungan,Simalingkar B,98.6004873423686,3.54621133750004
3064088,14-04-2022,1,Anjing,60,Parvovirus,Sulawesi Utara,Minahasa,Langowan Utara,Tempang Dua,124.826448,1.167198
3138781,04-06-2022,1,Anjing,60,Parvovirus,Sulawesi Utara,Minahasa,Langowan Utara,Taraitak,124.827724690501,1.14523671200004
3263350,10-08-2022,1,Anjing,60,Parvovirus,Sulawesi Utara,Minahasa,Tombariri,Poopoh,124.624744779189,1.37672928950005
