caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
3111891,22-05-2022,2,kerbau,36,Surra,Kalimantan Selatan,Barito Kuala,Kuripan,Rimbun Tulang,114.804591038646,-2.60891149999995
3079975,24-04-2022,1,sapi bali,24,Surra,Sulawesi Selatan,Takalar,Galesong Utara,Tamasaju,119.372767206449,-5.30053376999996
3040743,31-03-2022,1,sapi po,32,Surra,Riau,Siak,Kandis,Desa Bekalar,101.00214173149,0.924823610500027
3363215,13-10-2022,1,kuda,53,Surra,Nusa Tenggara Timur,Sumba Timur,Lewa,Kambu Hapang,119.860553648388,-9.78916649599995
3053458,08-04-2022,1,sapi bali,24,Surra,Sulawesi Selatan,Takalar,Galesong Utara,Tamasaju,119.372767206449,-5.30053376999996
3040707,31-03-2022,1,sapi po,32,Surra,Riau,Siak,Kandis,Jambai Makmur,101.00214173149,0.924823610500027
3506643,28-11-2022,1,kuda,53,Surra,Nusa Tenggara Timur,Sumba Barat,Wanokaka,Bali Loku,119.481465497303,-9.73442649799995
3501415,06-08-2022,1,Kuda Sandel,617,Surra,Nusa Tenggara Timur,Sumba Barat,Loli,Bera Dolu,119.488998283778,-9.63575420649994
3346046,28-09-2022,3,kuda,53,Surra,Nusa Tenggara Timur,Sumba Barat,Kota Waikabubak,Tebara,119.455910573241,-9.62504199649996
3004050,18-02-2022,3,kuda,53,Surra,Nusa Tenggara Timur,Sumba Tengah,Umbu Ratu Nggay Tengah,Wangga Waiyengu,119.653406156118,-9.53152649599997
3004053,18-02-2022,2,kuda,53,Surra,Nusa Tenggara Timur,Sumba Tengah,Umbu Ratu Nggay Barat,Prai Madeta,119.619892085115,-9.50397799649997
3004114,07-03-2022,1,kuda,53,Surra,Nusa Tenggara Timur,Sumba Tengah,Katikutana Selatan,Malinjak,119.621278689188,-9.69657899749996
3049429,06-04-2022,4,kuda,53,Surra,Nusa Tenggara Timur,Sumba Timur,Lewa,Kambu Hapang,119.860553648388,-9.78916649599995
3126570,30-05-2022,1,sapi,22,Surra,Sulawesi Selatan,Pare Pare,Bacukiki,Wattang Bacukiki,119.677406011736,-4.06306552699996
3004047,16-02-2022,2,kuda,53,Surra,Nusa Tenggara Timur,Sumba Tengah,Umbu Ratu Nggay Tengah,Wangga Waiyengu,119.653406156118,-9.53152649599997
3149154,09-06-2022,1,Sapi Kuantan,190,Surra,Riau,Kuantan Singingi,Benai,Pulau Ingu,101.568533333388,-0.445852994499944
3363212,13-10-2022,3,kuda,53,Surra,Nusa Tenggara Timur,Sumba Timur,Lewa Tidahu,Kangeli,119.80992802412,-9.83800349599997
3084355,26-04-2022,1,sapi bali,24,Surra,Sulawesi Selatan,Takalar,Patallassang,Kalabbirang,119.448206368604,-5.41315531499995
3350805,01-10-2022,1,kuda,53,Surra,Nusa Tenggara Timur,Sumba Barat,Kota Waikabubak,Kampung Baru,119.421141836458,-9.61494149749996
3004057,24-02-2022,3,kuda,53,Surra,Nusa Tenggara Timur,Sumba Tengah,Umbu Ratu Nggay Tengah,Wangga Waiyengu,119.653406156118,-9.53152649599997
3505728,26-12-2022,1,kuda,53,Surra,Nusa Tenggara Timur,Sumba Barat,Kota Waikabubak,Kampung Sawah,119.436159674928,-9.62078499699993
3491543,12-12-2022,16,kuda,53,Surra,Nusa Tenggara Timur,Sumba Timur,Lewa,Kambata Wundut,119.801934297224,-9.73281049649995
3319366,12-09-2022,1,kuda,53,Surra,Nusa Tenggara Timur,Sumba Timur,Lewa,Tanarara,119.843829542902,-9.81820749549996
3084351,26-04-2022,1,sapi bali,24,Surra,Sulawesi Selatan,Takalar,Polobangkeng Utara,Mattompodalle,119.478458061895,-5.34011745249995
3501428,15-08-2022,2,kuda,53,Surra,Nusa Tenggara Timur,Sumba Barat,Loli,Diratana,119.384426582032,-9.63838649799996
