caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
3233958,23-07-2022,1,kucing,64,tidak diketahui,Bali,Denpasar,Denpasar Timur,Sumerta,115.232220650801,-8.64537749999994
3270130,11-02-2022,1,sapi,22,tidak diketahui,Aceh,Sabang,Sukajaya,Ie Meule,95.3468106386117,5.88073924000005
3221510,16-07-2022,1,Anjing,60,tidak diketahui,Bali,Buleleng,Banjar,Banjar,114.960287379877,-8.20442799999995
2939658,12-01-2022,2,Anjing,60,tidak diketahui,Sulawesi Tengah,Donggala,Sirenja,Ujumbou,119.792655,-0.272242
3337596,22-09-2022,1,Anjing,60,tidak diketahui,Kalimantan Barat,Ketapang,Air Upas,Air Upas,110.821561527882,-2.26430380349996
3292282,25-08-2022,1,Anjing,60,tidak diketahui,Kalimantan Barat,Ketapang,Sungai Laur,Riam Bunut,110.436117713344,-0.984571605999975
3079049,23-04-2022,1,Anjing,60,tidak diketahui,Nusa Tenggara Barat,Sumbawa,Alas Barat,Mapin Kebak,116.939414148844,-8.54044099999996
3162520,15-06-2022,2,Anjing,60,tidak diketahui,Bali,Badung,Kuta Utara,Dalung,115.166138862408,-8.64126099999996
3151849,10-06-2022,6,rusa,82,tidak diketahui,Jawa Timur,Ngawi,Kedunggalar,Pelang Lor,111.290992449953,-7.40188765499997
3004794,08-03-2022,1,anjing lokal,62,tidak diketahui,Riau,Kampar,Tambang,Aur Sati,101.349975824542,0.228545632000049
3028626,24-03-2022,3,Anjing,60,tidak diketahui,Sulawesi Barat,Mamasa,Mambi,Talipuki,119.11485576243,-2.88386499899997
3206649,06-07-2022,1,kucing,64,tidak diketahui,Sumatera Barat,Bukittinggi,Aur Birugo Tigo Baleh,Birugo,100.380382094639,-0.299024953999947
3264510,25-01-2022,1,sapi,22,tidak diketahui,Aceh,Sabang,Sukakarya,Kota Bawah Timur,95.327013571915,5.87304261050005
3118643,25-05-2022,1,Anjing luar dewasa,220,tidak diketahui,Bali,Buleleng,Sukasada,Wanagiri,115.114049998565,-8.22435699999997
3000406,04-03-2022,1,kucing,64,tidak diketahui,Riau,Pekanbaru,Marpoyan Damai,Sidomulyo Timur,101.403705535314,0.419329955500046
3107764,19-05-2022,1,Anjing,60,tidak diketahui,Riau,Pekanbaru,Bukit Raya,Air Dingin,101.456006,0.450152
3344012,27-09-2022,1,kucing,64,tidak diketahui,Sumatera Barat,Bukittinggi,Aur Birugo Tigo Baleh,Aur Kuning,100.392630948389,-0.301548405999966
3115590,24-05-2022,1,Anjing,60,tidak diketahui,Bali,Badung,Kuta,Legian,115.174460463461,-8.71998199999996
2943979,17-01-2022,15,Anjing,60,tidak diketahui,Sulawesi Selatan,Sinjai,Sinjai Barat,Terasa,120.063203969375,-5.17157339749994
3016359,16-03-2022,1,kucing,64,tidak diketahui,Riau,Pekanbaru,Marpoyan Damai,Wonorejo,101.442451007679,0.472177534500048
3317112,09-09-2022,1,monyet,76,tidak diketahui,Riau,Pekanbaru,Payung Sekaki,Tampan,101.399086511119,0.521779245500028
2955782,28-01-2022,1,monyet,76,tidak diketahui,Riau,Pekanbaru,Rumbai,Sri Meranti,101.401251360761,0.547949373000051
3109065,20-05-2022,1,Anjing,60,tidak diketahui,Nusa Tenggara Barat,Sumbawa,Buer,Labuhan Burung,117.061619309205,-8.45064949999994
3289492,24-08-2022,1,monyet,76,tidak diketahui,Riau,Pekanbaru,Bina Widya,Simpang Baru,101.367052752174,0.42003816950006
3282990,22-08-2022,1,Anjing,60,tidak diketahui,Bali,Badung,Mengwi,Baha,115.180780259436,-8.52692399999995
3493329,13-12-2022,1,Anjing,60,tidak diketahui,Bali,Denpasar,Denpasar Utara,Pemecutan Kaja,115.202158663289,-8.65172799999993
3195171,29-06-2022,1,Anjing,60,tidak diketahui,Bali,Badung,Mengwi,Abianbase,115.167020862534,-8.60166199999995
2975371,14-02-2022,1,Anjing,60,tidak diketahui,Riau,Kampar,Tapung,Petapahan,101.067418486738,0.472411470500049
3228906,20-07-2022,1,Anjing,60,tidak diketahui,Bali,Buleleng,Seririt,Rangdu,114.943527968682,-8.23521149999996
3180444,22-06-2022,1,kucing,64,tidak diketahui,Bali,Buleleng,Buleleng,Pemaron,115.070644617401,-8.13929099999996
3529009,25-04-2022,14,kambing pe,41,tidak diketahui,Bengkulu,Mukomuko,Penarik,Suka Maju,101.393118,-2.625251
3162800,15-06-2022,1,kucing,64,tidak diketahui,Sumatera Barat,Pariaman,Pariaman Utara,Mangguang,100.10994524726,-0.590034393999957
3087664,28-04-2022,1,Anjing luar dewasa,220,tidak diketahui,Bali,Buleleng,Kubutambahan,Tamblang,115.226663188493,-8.13463999999996
3237130,25-07-2022,1,Anjing,60,tidak diketahui,Riau,Pekanbaru,Kulim,Pebatuan,101.509901,0.467925
3407466,10-11-2022,1,sapi,22,tidak diketahui,Riau,Bengkalis,Bantan,Resam Lapis,102.426579101153,1.46086126500006
3345667,28-09-2022,1,Anjing,60,tidak diketahui,Kalimantan Barat,Ketapang,Marau,Belaban,110.599540050418,-2.05119991299995
3075690,21-04-2022,1,monyet,76,tidak diketahui,Riau,Pekanbaru,Bina Widya,Simpang Baru,101.367052752174,0.42003816950006
3233898,23-07-2022,1,Anjing,60,tidak diketahui,Nusa Tenggara Barat,Sumbawa,Alas Barat,Mapin Kebak,116.939414148844,-8.54044099999996
3098328,12-05-2022,1,Anjing,60,tidak diketahui,Riau,Pekanbaru,Bukit Raya,Air Dingin,101.456006,0.450152
3235732,25-07-2022,1,Anjing,60,tidak diketahui,Nusa Tenggara Timur,Manggarai,Wae Rii,Ranaka,120.491177459719,-8.62897399399998
3141621,06-06-2022,1,Anjing,60,tidak diketahui,Bali,Buleleng,Banjar,Banyuatis,115.019395075305,-8.27361749999997
3373276,20-10-2022,1,Anjing,60,tidak diketahui,Kalimantan Barat,Ketapang,Nanga Tayap,Kayong Hulu,110.666397,-1.54194
