caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
3537140,24-01-2023,2,sapi,22,Penyakit Mulut dan Kuku,Jawa Timur,Jombang,Ngusikan,Ngusikan,112.335428924398,-7.41974425299998
3526919,16-01-2023,2,sapi,22,Penyakit Mulut dan Kuku,Jawa Timur,Ngawi,Karanganyar,Sekarjati,111.168998031531,-7.35856914549996
3528508,17-01-2023,4,sapi,22,Penyakit Mulut dan Kuku,Jawa Timur,Ngawi,Kedunggalar,Pelang Lor,111.290992449953,-7.40188765499997
3527564,17-01-2023,2,sapi limosin,29,Penyakit Mulut dan Kuku,Jawa Timur,Bojonegoro,Purwosari,Kuniran,111.673599043271,-7.23218202599995
3531637,19-01-2023,1,sapi limosin,29,Penyakit Mulut dan Kuku,Jawa Timur,Bojonegoro,Tambakrejo,Maling Mati,111.682413912493,-7.29615116099995
3514605,05-01-2023,4,sapi,22,Penyakit Mulut dan Kuku,Jawa Tengah,Magelang,Grabag,Lebak,110.306594511096,-7.45045299999995
3540931,26-01-2023,4,sapi,22,Penyakit Mulut dan Kuku,Jawa Timur,Bojonegoro,Dander,Ngumpak Dalem,111.851570982911,-7.22035098099997
3520637,11-01-2023,1,sapi,22,Penyakit Mulut dan Kuku,Jawa Timur,Tuban,Jatirogo,Karangtengah,111.640467859206,-6.88077092149996
3516688,07-01-2023,1,Sapi Brahman Cross,289,Penyakit Mulut dan Kuku,Jawa Timur,Lamongan,Solokuro,Bluri,112.412738276085,-6.91803741449993
3527965,17-01-2023,1,sapi,22,Penyakit Mulut dan Kuku,Jawa Timur,Lamongan,Kedungpring,Blawirejo,112.22406515228,-7.16891717899998
3523301,13-01-2023,1,sapi potong,77,Penyakit Mulut dan Kuku,Jawa Tengah,Blora,Bogorejo,Sendangrejo,111.560049921583,-6.92731549899995
3514029,04-01-2023,52,sapi,22,Penyakit Mulut dan Kuku,Jawa Tengah,Rembang,Sumber,Logede,111.301851276196,-6.82467150099995
3517794,09-01-2023,3,sapi,22,Penyakit Mulut dan Kuku,Jawa Timur,Bojonegoro,Sukosewu,Sumberejo Kidul,111.917674437572,-7.24144053449996
3535492,23-01-2023,5,sapi,22,Penyakit Mulut dan Kuku,Jawa Timur,Ponorogo,Sawoo,Kori,111.54979848416,-7.97048139549995
3525827,16-01-2023,10,sapi,22,Penyakit Mulut dan Kuku,Jawa Timur,Bojonegoro,Sugihwaras,Alasgung,111.966230471958,-7.35521793349994
3531365,19-01-2023,3,sapi,22,Penyakit Mulut dan Kuku,Jawa Timur,Bojonegoro,Sekar,Bobol,111.692068672569,-7.39675068849996
3528849,18-01-2023,3,sapi,22,Penyakit Mulut dan Kuku,Jawa Barat,Karawang,Tirtamulya,Kamurang,107.471114969427,-6.31272029899998
3524822,15-01-2023,5,sapi,22,Penyakit Mulut dan Kuku,Jawa Timur,Ngawi,Padas,Padas,111.526045640141,-7.43627452849995
